"col1","col2","col3","col4","col5","col6","col7","col8"
"2024-3345","11/23/24 05:05 PM","11/23/24 04:30 PM - 11/23/24 04:40 PM","Criminal Trespass","Furman Hall","Washington Square","A campus safety officer reported a Criminal Trespass.","Closed"
"2024-3344","11/23/24 03:41 PM","11/23/24 02:00 PM - 11/23/24 03:31 PM","Harassment","Bobst Library","Washington Square","A student reported Harassment.","Closed/ Referred to NYPD"
"03703-2024","11/21/24 07:17 PM","11/20/24 07:04 PM","Liquor Law Violation","Sixth Street Residence Hall","Washington Square","An RA reported illegal alcohol possession. (x3)","Closed/ Referred to Office of Student Conduct & Community Standards"
"03698-2024","11/21/24 04:37 PM","11/21/24 03:15 PM","Liquor Law Violation","Founders Hall","Washington Square","An RA reported illegal alcohol possession. (x2)","Closed/ Referred to Office of Student Conduct & Community Standards"
"03693-2024","11/21/24 04:09 PM","11/20/24 03:10 PM","Liquor Law Violation","Carlyle Court Residence Hall","Washington Square","An RA reported illegal alcohol possession. (x4)","Closed/ Referred to Office of Student Conduct & Community Standards"
"03672-2024","11/21/24 12:04 PM","11/21/24 10:20 PM","Liquor Law Violation","Weinstein Residence Hall","Washington Square","An RA reported illegal alcohol possession. (x2)","Closed/ Referred to Office of Student Conduct & Community Standards"
"2024-3319","11/21/24 05:01 PM","11/21/24 03:02 PM - 11/21/24 04:45 PM","Larceny","Genomics Center","Washington Square","A student reported missing property.","Closed"
"03669-2024","11/21/24 10:16 AM","11/21/24 12:45 AM","Liquor Law Violation","Weinstein Residence Hall","Washington Square","An RA reported illegal alcohol possession. (x2)","Closed/ Referred to Office of Student Conduct & Community Standards"
"03664-2024","11/20/24 11:21 PM","11/19/24 09:00 PM","Disorderly Conduct","Brittany Hall","Washington Square","An RA reported Disorderly Conduct.","Open"
"03662-2024","11/20/24 09:46 PM","11/20/24 07:10 PM","Liquor Law Violation","University Residence Hall","Washington Square","An RA reported illegal alcohol possession. (x4)","Closed/ Referred to Office of Student Conduct & Community Standards"
"2024-3312","11/20/24 04:08 PM","11/20/24 04:08 PM - 11/20/24 04:38 PM","Disorderly Conduct","Schwartz Hall","Kips Bay","A staff member reported Disorderly Conduct.","Closed/ Referred to NYPD"
"2024-3311","11/20/24 12:00 AM","11/18/24 01:40 PM - 11/18/24 02:40 PM","Larceny","404 Lafayette Street","Washington Square","A student reported stolen property.","Closed/ Referred to NYPD"
"2024-3305","11/20/24 02:00 PM","11/20/24 12:30 PM","Larceny","Third North Residence Hall","Washington Square","An NYU-affiliate reported stolen property.","Open"
"2024-3301","11/20/24 09:45 AM","11/19/24 12:00 AM - 11/19/24 12:40 PM","Larceny","Genomics Center","Washington Square","A student reported missing property.","Open"
"03649-2024","11/19/24 11:09 PM","11/19/24 09:00 PM","Liquor Law Violation","University Hall","Washington Square","An RA reported illegal alcohol possession.","Closed/ Referred to Office of Student Conduct & Community Standards"
"03646-2024","11/19/24 10:30 PM","11/17/24 12:00 AM","Liquor Law Violation","Palladium Residence Hall","Washington Square","An RA reported illegal alcohol possession. (x2)","Closed/ Referred to Office of Student Conduct & Community Standards"
"03630-2024","11/19/24 12:00 AM","11/19/24 03:09 AM - 11/19/24 06:15 AM","Liquor Law Violation / Drug Law Violation","Founders Residence Hall","Washington Square","An RA reported illegal drug and alcohol possession.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2024-3295","11/19/24 05:44 PM","11/19/24 05:34 PM - 11/19/24 05:40 PM","Harassment","Weinstein Hall - Exterior","Washington Square","An employee reported Harassment.","Closed"
"2024-3293","11/19/24 04:16 PM","11/19/24 02:30 PM - 11/19/24 04:10 PM","Larceny","Paulson Center","Washington Square","A student reported missing property.","Open"
"2024-3292","11/19/24 03:14 PM","11/19/24 02:30 PM","Larceny","Mercer Street and W 4th Street","Washington Square","A student reported stolen property.","Closed"
"2024-3291","11/19/24 12:50 AM","11/19/24 12:50 AM","Liquor Law Violation / Drug Law Violation / Possession of Stolen Property","Founders Residence Hall","Washington Square","An RA reported illegal drug and alcohol possession / possession of stolen property.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2024-3289","11/19/24 01:45 PM","11/19/24 09:45 AM - 11/19/24 01:45 PM","Larceny","Palladium Residence Hall","Washington Square","A student reported missing property.","Closed"
"2024-3284","11/19/24 08:23 AM","11/19/24 08:21 AM","Harassment","Basic Science","Kips Bay","A staff member reported Harassment.","Open"
"2024-3281","11/18/24 10:24 PM","11/18/24 08:30 PM - 11/18/24 10:45 PM","Larceny / Extortion","404 Lafayette Street","Washington Square","A student reported a Larceny and Extortion.","Closed"
"03622-2024","11/18/24 11:04 PM","11/18/24 08:30 PM","Liquor Law Violation","University Hall","Washington Square","An Ra reported a Liquor Law Violation. (x3)","Closed/ Referred to Office of Student Conduct & Community Standards"
"03619-2024","11/18/24 10:00 PM","11/17/24 04:45 PM","Liquor Law Violation","Palladium Residence Hall","Washington Square","An RA reported a Liquor Law Violation. (x2)","Closed/ Referred to Office of Student Conduct & Community Standards"
"03614-2024","11/18/24 06:24 PM","11/18/24 02:45 PM","Liquor Law Violation","Gramercy Green Residence Hall","Washington Square","An RA reported a Liquor Law Violation.","Closed/Referred to Office of Student Conduct & Community Standards"
"03607-2024","11/18/24 05:35 PM","11/17/24 04:30 PM","Liquor Law Violation","Palladium Residence Hall","Washington Square","An RA reported a Liquor Law Violation.","Closed/ Referred to Office of Student Conduct & Community Standards"
"03604-2024","11/18/24 04:25 PM","11/18/24 02:40 PM","Liquor Law Violation","Founders Hall","Washington Square","An RA reported a Liquor Law Violation. (x3)","Closed/ Referred to Office of Student Conduct & Community Standards"
"03603-2024","11/18/24 03:26 PM","11/18/24 03:10 PM","Drug Law Violation","Brittany Hall","Washington Square","A student reported illegal Drug Law Violation.","Closed/Referred to Office of Student Conduct & Community Standards"
"2024-3279","11/18/24 09:15 PM","11/18/24 08:00 PM - 11/18/24 09:15 PM","Larceny","404 Lafayette Street","Washington Square","A student reported missing property.","Closed"
"2024-3275","11/18/24 06:38 PM","11/18/24 05:40 PM","Harassment","Carlyle Court","Washington Square","A student reported Harassment.","Closed/ Referred to NYPD"
"2024-3274","11/18/24 07:09 PM","11/18/24 11:00 AM - 11/18/24 11:58 AM","Larceny","Palladium Residence Hall","Washington Square","A student reported missing property.","Closed/ Referred to NYPD"
"2024-3272","11/18/24 05:19 PM","11/18/24 01:45 PM - 11/18/24 04:40 PM","Larceny","Tisch Hall","Washington Square","A student reported missing property.","Open"
"2024-3269","11/18/24 04:30 PM","11/18/24 09:20 AM - 11/18/24 10:45 AM","Larceny","Silver Center","Washington Square","A student reported missing property.","Closed/ Referred to NYPD"
"2024-3268","11/18/24 03:43 PM","11/18/24 09:30 AM - 11/18/24 03:34 PM","Larceny","Palladium Residence Hall","Washington Square","A student reported missing property.","Closed"
"2024-3267","11/18/24 12:45 AM","11/18/24 11:15 AM - 11/18/24 11:20 AM","Larceny","Palladium Residence Hall","Washington Square","A student reported missing property.","Closed/ Referred to NYPD"
"2024-3264","11/18/24 09:40 AM","11/18/24 09:35 AM","Harassment","E. 26th Street and 1st Avenue","Kips Bay","A student reported Harassment.","Closed"
"03576-2024","11/16/24 02:26 PM","11/15/24 08:42 PM","Liquor Law Violation","Rubin Hall","Washington Square","An RA reported a Liquor Law Violation. (x2)","Closed/ Referred to Office of Student Conduct & Community Standards"
"03569-2024","11/15/24 11:39 PM","11/15/24 10:38 PM","Liquor Law Violation","Lipton Hall","Washington Square","An RA reported Liquor Law Violation. (x18)","Closed/ Referred to Office of Student Conduct & Community Standards"
"03564-2024","11/15/24 08:58 PM","11/15/24 06:00 PM","Liquor Law Violation","Gramercy Green Residence Hall","Washington Square","An RA reported a Liquor Law Violation. (x2)","Closed/ Referred to Office of Student Conduct & Community Standards"
"2024-3259","11/17/24 12:00 AM","11/17/24 12:00 AM","Harassment / Hate Crime","Washington Square Park","Washington Square","A non-NYU individual reported Harassment with an anti-jewish bias.","Closed/ Referred to NYPD"
"2024-3237","11/15/24 06:00 PM","11/15/24 05:45 PM","Robbery","Washington Square Park","Washington Square","A student reported a Robbery.","Closed/ Referred to NYPD"
"2024-3256","11/17/24 03:21 PM","11/10/24 03:00 PM - 11/15/24 12:00 PM","Larceny","Palladium Residence Hall","Washington Square","A student reported missing property.","Closed"
"2024-3252","11/16/24 02:48 PM","11/16/24 02:45 PM","Harassment","Waverly Place and University Place","Washington Square","A student reported Harassment.","Open"
"2024-3247","11/16/24 09:12 AM","11/16/24 09:08 AM","Criminal Mischief","370 Jay Street - Exterior","Brooklyn Commons","A Campus Safety Officer reported graffiti.","Closed/ Referred to NYPD"
"2024-3235","11/15/24 05:10 PM","11/12/24 12:00 AM - 11/12/24 10:30 AM","Larceny","Othmer Hall","Brooklyn Commons","A student reported stolen property.","Open"
"03554-2024","11/15/24 12:51 AM","11/14/24 10:30 PM - 11/14/24 10:50 PM","Liquor Law Violation","Brittany Hall","Washington Square","An RA reported Liquor Law Violation (x7).","Closed/ Referred to Office of Student Conduct & Community Standards"
"03548-2024","11/14/24 08:30 PM","11/14/24 12:00 AM","Harassment","1 University Place - Exterior","Washington Square","A student reported Harassment.","Closed"
"2024-3222","11/14/24 09:40 AM","11/13/24 07:30 PM - 11/13/24 08:25 PM","Larceny","Tisch Hall","Washington Square","A student reported a larceny.","Closed"
"03538-2024","11/14/24 02:24 PM","11/14/24 12:30 PM","Liquor Law Violation","Broome Street Residence Hall","Washington Square","A staff member reported a liquor law violation. (4x)","Closed/ Referred to Office of Student Conduct & Community Standards"
"2024-3219","11/15/24 01:55 PM","10/31/24 07:00 PM - 10/31/24","Motor Vehicle Theft","Dibner Library - Exterior","Brooklyn Commons","A staff member reported a Motor Vehicle Theft.","Closed/ Referred to NYPD"
"2024-3219","11/14/24 01:55 PM","10/10/24 07:00 PM - 10/10/24","Larceny","Dibner Library - Exterior","Brooklyn Commons","A staff member reported a Larceny.","Open"
"03530-2024","11/13/24 10:26 PM","11/13/24 06:20 PM","Liquor Law Violation","Broome Street Residence","Washington Square","A student reported a Liquor Law Violation.","Closed/ Referred to Office of Student Conduct & Community Standards"
"03529-2024","11/13/24 10:14 PM","11/13/24 06:05 PM","Liquor Law Violation","Broome Street Residence","Washington Square","A student reported a Liquor Law Violation. x2","Closed/ Referred to Office of Student Conduct & Community Standards"
"2024-3214","11/13/24 09:00 PM","11/13/24 06:31 PM - 11/13/24 08:06 PM","Larceny","404 Lafayette","Washington Square","A student reported a Larceny.","Closed"
"03524-2024","11/13/24 08:49 PM","11/13/24 08:05 PM","Liquor Law Violation","Brittany Hall Residence","Washington Square","A student reported a Liquor Law Violation. x4","Closed/ Referred to Office of Student Conduct & Community Standards"
"03518-2024","11/13/24 06:27 PM","11/12/24 11:45 PM","Harassment","Lafayette Residence Hall","Washington Square","A student reported Harassment.","Open"
"03512-2024","11/13/24 05:09 PM","11/13/24 04:02 PM","Liquor Law Violation","Othmer Residence Hall","Brooklyn Commons","A student reported a Liquor Law Violation.","Closed/ Referred to Office of Student Conduct & Community Standards"
"03502-2024","11/13/24 12:53 PM","11/06/24 10:14 PM","Liquor Law Violation","Clark Street Residence","Brooklyn Commons","A student reported a Liquor Law Violation. x3","Closed/ Referred to Office of Student Conduct & Community Standards"
"2024-3208","11/13/24 05:19 PM","11/13/24 12:30 PM - 11/13/24 05:09 PM","Motor Vehicle Theft","Schwartz Hall - Exterior","Kips Bay & Langone","A student reported a Motor Vehicle Theft.","Closed/ Referred to NYPD"
"2024-3207","11/13/24 03:08 PM","11/11/24 06:00 PM - 11/12/24 10:00 AM","Larceny","726 Broadway","Washington Square","A student reported a Larceny.","Closed"
"2024-3206","11/13/24 03:06 PM","11/13/24 02:34 PM - 11/13/24 03:20 PM","Criminal Mischief","Kevorkian Center","Washington Square","A campus safety officer reported Criminal Mischief.","Closed/ Referred to NYPD"
"2024-3203","11/13/24 12:33 PM","11/13/24 07:50 AM - 11/13/24 09:04 AM","Motor Vehicle Theft","370 Jay Street - Exterior","Brooklyn Commons","A staff member reported a Motor Vehicle Theft.","Closed/ Referred to NYPD"
"2024-3202","11/13/24 11:47 AM","11/13/24 10:55 AM","Fondling","Washington Square North & Fifth Avenue","Washington Square","A student reported a Fondling.","Open"
"2024-3200","11/12/24 11:25 AM","11/13/24 10:26 AM","Fondling","Schwartz Hall","Kips Bay","A staff member reported a Fondling.","Closed/ Referred to NYPD"
"2024-3195","11/12/24 04:40 PM","10/31/24 01:00 PM - 10/31/24 01:45 PM","Larceny","Kaufman Management Center","Washington Square","A student reported a Larceny.","Closed"
"2024-3194","11/12/24 03:23 PM","11/13/24 03:22 PM","Harassment and Larceny","Rubin Hall - Exterior","Washington Square","A student reported harassment and a larceny.","Closed/ Referred to NYPD"
"2024-3193","11/12/24 01:20 PM","11/12/24 12:40 PM - 11/12/24 01:15 PM","Larceny","Bobst Library","Washington Square","An individual reported a Larceny.","Closed/ Referred to NYPD"
"2024-3192","11/12/24 11:08 AM","11/12/24 10:27 AM","Larceny","Paulson Center - Exterior","Washington Square","A staff member reported a Larceny.","Open"
"2024-3188","11/11/24 08:35 PM","10/06/24 08:39 PM - 10/26/24 05:28 PM","Larceny","Palladium Residence Hall","Washington Square","A student reported a Larceny.","Open"
"2024-3187","11/11/24 08:36 PM","11/11/24 05:30 PM - 11/11/24 08:30 PM","Larceny","Rogers Hall - Exterior","Brooklyn Commons","A student reported a Larceny.","Open"
"2024-3183","11/11/24 06:45 PM","11/11/24 04:30 PM - 11/11/24 06:30 PM","Larceny","Palladium Residence Hall","Washington Square","A student reported a Larceny.","Closed"
"2024-3182","11/11/24 05:59 PM","11/11/24 03:23 PM","Larceny / Embezzlement","Warren Weaver Hall - Exterior","Washington Square","A student reported a Larceny / Embezzlement.","Closed/ Referred to NYPD"
"2024-3181","11/11/24 05:54 PM","11/11/24 03:45 PM - 11/11/24 04:45 PM","Larceny","Palladium Residence Hall","Washington Square","A student reported a Larceny.","Closed"
"2024-3178","11/11/24 03:58 PM","11/11/24 02:30 PM","Larceny / Embezzlement","Washington Square South","Washington Square","A student reported a Larceny / Embezzlement.","Closed"
"2024-3177","11/11/24 03:36 PM","11/11/24 03:00 PM","Larceny / Embezzlement / Harassment","Weinstein Residence Hall - Exterior","Washington Square","A student reported Larceny / Embezzlement / Harassment.","Closed/ Referred to NYPD"
"2024-3173","11/11/24 11:00 AM","11/09/24 03:00 PM - 11/09/24 03:20 PM","Larceny","Bobst Library","Washington Square","A student reported a Larceny.","Closed/ Referred to NYPD"
"03474-2024","11/11/24 11:51 AM","11/11/24 11:18 AM","Criminal Mischief","Lafayette Residence Hall","Washington Square","A student reported Criminal Mischief.","Open"
"03467-2024","11/10/24 04:22 PM","11/10/24 03:00 PM","Liquor Law Violation","Broome Street Residence","Washington Square","A student reported a Liquor Law Violation. x2","Closed/ Referred to Office of Student Conduct & Community Standards"
"03462-2024","11/10/24 11:29 AM","11/10/24 10:28 AM","Liquor Law Violation","Third North Residence Hall","Washington Square","A student reported a Liquor Law Violation. x5","Closed/ Referred to Office of Student Conduct & Community Standards"
"2024-3165","11/10/24 05:32 PM","11/10/24","Harassment","Rogers Hall - Exterior","Brooklyn Commons","A student reported Harassment.","Open"
"2024-3161","11/10/24 03:08 AM","11/10/24 01:20 AM","Arson","Third North Residence - Exterior","Washington Square","A campus safety officer reported an Arson.","Open"
"2024-3144","11/08/24 12:47 AM","11/07/24 11:30 PM","Aggravated Assault","11 Waverly Place - Exterior","Washington Square","An individual reported am Aggravated Assault.","Closed/ Referred to NYPD"
"2024-3140","11/07/24 09:43 AM","11/05/24 - 11/05/24","Criminal Trespass","19 University Place","Washington Square","A staff member reported a Criminal Trespass.","Closed"
"03420-2024","11/07/24 07:17 PM","11/07/24 06:07 PM","Liquor Law Violation","Third Avenue North Residence Hall","Washington Square","An RA reported a Liquor Law Violation. (x2)","Open"
"2024-3137","11/07/24 10:05 PM","11/05/24 03:11 PM - 11/05/24 07:00 PM","Larceny","Rubin Residence Hall","Washington Square","A student reported missing property.","Open"
"2024-3135","11/07/24 07:36 PM","11/07/24 07:35 PM - 11/07/24 07:37 PM","Loitering","Carlyle Court","Washington Square","A Campus Safety Officer reported Loitering.","Closed/ Referred to NYPD"
"2024-3126","11/06/24 10:30 PM","11/06/24 09:30 PM - 11/06/24 10:30 PM","Harassment","Kimmel Center","Washington Square","A student reported Harassment.","Closed"
"2024-3124","11/06/24 07:30 PM","11/06/24 07:20 PM","Harassment","Washington Place between 6th Avenue and Washington Square West","Washington Square","A student reported a Harassment.","Closed"
"2024-3121","11/06/24 05:49 PM","11/06/24 04:40 PM - 11/06/24 04:42 PM","Found Property (reclassified from Larceny on 11.7)","Paulson Center","Washington Square","A student reported missing property.","Closed"
"2024-3119","11/06/24 03:06 PM","10/30/24 03:20 PM - 11/06/24 05:10 PM","Stalking","Bobst Library","Washington Square","A student reported a Stalking.","Open"
"2024-3118","11/06/24 02:09 PM","11/06/24 02:04 PM - 11/06/24 03:49 PM","Disorderly Conduct / Harassment","Weissman Hall","Kips Bay","A staff member reported Disorderly Conduct and Harassment.","Open"
"2024-3116","11/06/24 01:11 PM","11/05/24 10:55 PM - 11/05/24 10:58 PM","Larceny","Kimmel Center","Washington Square","A student reported missing property.","Open"
"2024-3112","11/06/24 10:34 AM","11/06/24 09:22 AM","Fondling","Education Building - Exterior","Washington Square","A student reported a Fondling.","Closed/ Referred to NYPD"
"2024-3109","11/06/24 09:42 AM","11/06/24 09:17 AM - 11/06/24 10:02 AM","Criminal Trespass","Rogers Hall","Washington Square","A Campus Safety Officer reported a Criminal Trespass.","Open"
"2024-3091","11/05/24 10:53 AM","10/26/24 11:00 PM - 10/27/24","Larceny","Third North Residence Hall","Washington Square","A student reported missing property.","Open"
"03367-2024","11/03/24 06:35 PM","11/03/24 04:09 PM","Liquor Law Violation","Lafayette Hall","Washington Square","An RA reported illegal alcohol possession. (x2)","Closed/ Referred to Office of Student Conduct & Community Standards"
"03358-2024","11/03/24 08:55 AM","11/02/24 05:54 PM","Liquor Law Violation","Weinstein Residence Hall","Washington Square","An RA reported illegal alcohol possession. (x2)","Closed/ Referred to Office of Student Conduct & Community Standards"
"03355-2024","11/03/24 03:24 PM","11/03/24 02:40 AM","Liquor Law Violation","Weinstein Residence Hall","Washington Square","An RA reported illegal alcohol possession.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2024-3080","11/04/24 01:50 PM","11/04/24 12:30 PM - 11/04/24 01:30 PM","Larceny","Bobst Library","Washington Square","A student reported missing property.","Closed"
"2024-3074","11/04/24 08:38 AM","11/01/24 10:30 AM - 11/01/24 10:53 AM","Harassment","Palladium Residence Hall","Washington Square","A student reported Harassment.","Closed"
"03346-2024","11/02/24 05:20 AM","11/01/24 03:51 PM","Liquor Law Violation","Coral Tower Residence Hall","Washington Square","An RA reported illegal alcohol possession. (x2)","Closed/ Referred to Office of Student Conduct & Community Standards"
"03344-2024","11/02/24 04:32 AM","11/01/24 03:26 PM","Liquor Law Violation","Coral Tower Residence Hall","Washington Square","An RA reported illegal alcohol possession. (x2)","Closed/ Referred to Office of Student Conduct & Community Standards"
"03340-2024","11/02/24 12:48 AM","11/01/24 04:12 PM","Liquor Law Violation","Coral Tower Residence Hall","Washington Square","An RA reported illegal alcohol possession.","Closed/ Referred to Office of Student Conduct & Community Standards"
"03334-2024","11/02/24 02:07 AM","11/02/24 12:06 AM","Liquor Law Violation","Lafayette Hall","Washington Square","An RA reported illegal alcohol possession. (x5)","Closed/ Referred to Office of Student Conduct & Community Standards"
"03317-2024","11/01/24 05:39 PM","11/01/24 05:39 PM","Liquor Law Violation","Coral Towers Residence Hall","Washington Square","An RA reported illegal alcohol possession. (x5)","Closed/ Referred to Office of Student Conduct & Community Standards"
"03307-2024","11/01/24 03:18 PM","10/28/24 01:55 PM","Harassment","Silver Building","Washington Square","A student reported Harassment.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2024-3064","11/03/24 02:07 AM","11/03/24 02:00 AM - 11/03/24 03:00 AM","Harassment","20 Cooper Square","Washington Square","A Campus Safety Officer reported Harassment.","Open"
"2024-3049","11/01/24 02:00 PM","11/01/24 01:42 PM - 11/01/24 02:25 PM","Stalking, Dating Violence, Simple Assault","Furman Hall","Washington Square","A student reported stalking, dating violence, and simple assault.","Closed/ Referred to NYPD"
"2024-3052","11/01/24 04:44 PM","11/01/24 03:45 PM - 11/01/24 04:40 PM","Larceny","Paulson Center","Washington Square","A student reported missing property.","Closed"
"2024-3050","11/01/24 02:32 PM","11/01/24 11:00 AM - 11/01/24 02:32 PM","Larceny","6 MetroTech Center","Brooklyn Commons","A student reported missing property.","Closed/ Referred to NYPD"
"2024-3044","11/01/24 11:45 AM","10/30/24 01:32 PM - 10/30/24 01:38 PM","Criminal Trespass","Midtown Center","Midtown Center","A Security Officer reported a Criminal Trespass.","Closed"
"03296-2024","11/01/24 12:30 AM","11/01/24 12:06 AM","Liquor Law Violation","Third North Residence","Washington Square","A student reported a Liquor Law Violation. x5","Closed/ Referred to Office of Student Conduct & Community Standards"
"03294-2024","11/01/24 12:01 AM","10/31/24 10:35 PM","Liquor Law Violation","Third North Residence Hall","Washington Square","A student reported a Liquor Law Violation. x3","Closed/ Referred to Office of Student Conduct & Community Standards"
